Year,SP_500I_Value,Prct_Chnge_SP500I,Real_GDP_Per_Capita_th,Real_GDP,Real_GDP_Change,Prct_Chnge_GDP,Tax_Rev_b,Tax_Rev_Diff,Prct_Chnge_Tax_Rev,Money_In_Circ_b,Money_Printed_billions,Prct_Chnge_Printed,CPI,EFFR,Mortgage_Rate,US_house_units,MSPUS_th,Purch_Power
1958,459.8416666666667,2.8765000997425405,17076.7500,2973.98225,-22.19574999999986,-0.7408021152281341,NULL,NULL,NULL,31.17616666666667,0.1734166666666752,0.5593589815957367,28.85833333333333,1.5724999999999998,NULL,NULL,NULL,92.56536777559779
1957,446.9841666666667,-7.872033087546981,17493.7500,2996.178,61.78675000000021,2.105607082900085,NULL,NULL,NULL,31.002749999999995,0.3164999999999978,1.0314065746058754,28.091666666666665,3.105,NULL,NULL,NULL,90.6102415645924
1956,485.17749999999995,12.0265147870928,17443.7500,2934.3912499999997,61.231499999999414,2.131155429140308,NULL,NULL,NULL,30.686249999999998,0.4376666666666651,1.446899717066641,27.183333333333337,2.7283333333333335,NULL,NULL,NULL,88.58473529132213
1955,433.09166666666664,36.313801605203764,17383.2500,2873.1597500000003,191.30575,7.13333947336432,NULL,NULL,NULL,30.248583333333332,0.2204166666666687,0.7340330467505485,26.775000000000002,1.785,NULL,NULL,NULL,88.51654209701282
1954,317.7166666666667,21.334597832105985,16514.0000,2681.8540000000003,-15.602249999999458,-0.5784060445836459,NULL,NULL,NULL,30.028166666666664,-0.10541666666667027,-0.34983116843610995,26.849999999999998,1.0083333333333333,NULL,NULL,NULL,89.41604826579488
1953,261.85166666666663,-0.5217336245923909,16906.0000,2697.4562499999997,120.79824999999937,4.688175535907346,NULL,NULL,NULL,30.133583333333334,1.0710000000000015,3.6851507235821535,26.766666666666666,NULL,NULL,NULL,NULL,88.82669668116691
1952,263.22499999999997,7.7337608076536,16415.7500,2576.6580000000004,101.20925000000034,4.088521323659,NULL,NULL,NULL,29.062583333333333,1.3265833333333283,4.782893471781535,26.549999999999997,NULL,NULL,NULL,NULL,91.35457676107022
1951,244.32916666666665,12.475735976737212,16043.5000,2475.44875,184.33825000000024,8.045803552469444,NULL,NULL,NULL,27.736000000000004,0.5626666666666722,2.070657507360174,25.958333333333332,NULL,NULL,NULL,NULL,93.5907605037977
1950,217.22833333333335,19.720211632435603,15102.5000,2291.1105,183.11149999999952,8.6865079158007,NULL,NULL,NULL,27.173333333333332,-0.3451666666666604,-1.2543077081478282,24.066666666666666,NULL,NULL,NULL,NULL,88.56722276741904
1949,181.4466666666667,-1.0398865578300498,14130.0000,2107.9990000000003,-11.960250000000087,-0.5641735802233039,NULL,NULL,NULL,27.518499999999992,-0.5451666666666739,-1.9426066919267182,23.808333333333334,NULL,NULL,NULL,NULL,86.51755485703559
1948,183.35333333333335,-5.1600250005387815,14457.5000,2119.9592500000003,83.75525000000039,4.113303480397867,NULL,NULL,NULL,28.063666666666666,-0.35658333333334014,-1.254680494834981,24.041666666666668,NULL,NULL,NULL,NULL,85.66830183748857
1947,193.32916666666665,-22.736840001865023,14128.2500,2036.204,NULL,NULL,NULL,NULL,NULL,28.420250000000006,0.13033333333333985,0.4607059641391853,22.325,NULL,NULL,NULL,NULL,78.55314432490916
1946,250.22166666666666,3.672987418343543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.289916666666667,1.4430833333333304,5.375245994251321,19.51666666666667,NULL,NULL,NULL,NULL,68.98806700856314
1945,241.35666666666665,19.675551937721835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.846833333333336,4.296250000000004,19.051613594622484,17.991666666666664,NULL,NULL,NULL,NULL,67.01597333018789
1944,201.67583333333334,6.038671685018127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.550583333333332,4.943916666666663,28.079799318439957,17.591666666666665,NULL,NULL,NULL,NULL,78.00980758073516
1943,190.19083333333333,26.35585525733013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.60666666666667,4.927416666666671,38.86205151461382,17.308333333333337,NULL,NULL,NULL,NULL,98.30556607345703
1942,150.52,-19.774723956899088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.679249999999998,3.0912499999999987,32.24082186065915,16.333333333333332,NULL,NULL,NULL,NULL,128.81939652056184
1941,187.6216666666667,-15.571621961143101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.588,1.7102499999999994,21.709879089841632,14.725000000000003,NULL,NULL,NULL,NULL,153.57738840216945
1940,222.2258333333333,-8.628942454300958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.87775,0.8216666666666672,11.644798223754925,14.008333333333333,NULL,NULL,NULL,NULL,177.82150148625348
1939,243.2125,5.867693948396502,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.056083333333333,0.5509999999999984,8.470298868833325,13.908333333333331,NULL,NULL,NULL,NULL,197.11123971041536
1938,229.7325,-23.62510562258454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.505083333333334,0.030666666666666842,0.4736591456115713,14.091666666666663,NULL,NULL,NULL,NULL,216.62545957648499
1937,300.79583333333335,-5.257673510312699,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.474416666666667,0.3717499999999996,6.09159930085208,14.383333333333335,NULL,NULL,NULL,NULL,222.15643622977615
1936,317.4883333333333,43.76070698151793,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.102666666666668,0.518250000000001,9.28028889916883,13.866666666666667,NULL,NULL,NULL,NULL,227.22307188114482
1935,220.845,6.477936124648931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.584416666666667,0.18216666666666725,3.3720517685532414,13.725000000000001,NULL,NULL,NULL,NULL,245.77320818348682
1934,207.4091666666667,6.0862189487324025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.4022499999999996,-0.17300000000000004,-3.1029998654768853,13.383333333333333,NULL,NULL,NULL,NULL,247.73628272170546
1933,195.51,38.938765841525516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.57525,0.24716666666666587,4.638941457997703,12.933333333333332,NULL,NULL,NULL,NULL,231.97763926879213
1932,140.71666666666667,-42.84921344055452,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.328083333333334,0.6582499999999998,14.095792141047149,13.641666666666666,NULL,NULL,NULL,NULL,256.0332827627195
1931,246.22000000000003,-30.319202877188822,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.669833333333334,0.41133333333333333,9.659113146256516,15.20833333333333,NULL,NULL,NULL,NULL,325.6718655198257
1930,353.3541666666666,-17.882858282690982,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.258500000000001,-0.2164166666666656,-4.836216689323802,16.7,NULL,NULL,NULL,NULL,392.15686274509795
1929,430.305,27.59008369017586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.474916666666666,-0.020500000000001073,-0.45602002039116796,17.158333333333335,NULL,NULL,NULL,NULL,383.433583493175
